阿胶	［同］驴皮胶 
保密	［同］秘而不宣 守口如瓶 ［反］泄密 
保苗	［同］育苗 定苗 补苗 蹲苗 
保票	［同］包票 保结 结 保单 
保全	［同］保持 维持 护持 维系 
保全工	［同］装配工 包装工 
保墒	［反］跑墒 
保释	［同］获释 自由 释放 假释  
保守	［同］守旧 封建 陈腐 迂腐 ［反］泄露 泄漏 坦白 
保送	［同］选送 保荐 保举 
保卫	［同］捍卫 护卫 卫护 侍卫 
保险	［同］管保 保管 管 包管 
保险刀	［同］安全剃刀 剃刀 剃头刀 
保养	［同］颐养 养 将息 调养 
保有	［同］领有 所有 有 拥有 
保佑	［同］庇佑 呵护 荫庇 
保育	［同］抚育 护养 
保证1	［同］保证书 
保证2	［同］中间人 中人 保证人 
保证金	［同］押柜 
保证人	［同］保证 中间人 中人 
保证书1	［同］保证 
保证书2	［同］保状 甘结 军令状 
保重	［同］珍重 
保状	［同］甘结 军令状 保证书 
堡垒	［同］壁垒 营垒 碉堡 地堡 
饱	［同］打饱嗝儿 ［反］饿 饥  
饱经风霜	［同］老马识途 老于世故 曾经沧海 
饱满	［同］旺盛 振奋 振作 抖擞 
饱暖	［反］饥寒 
饱食	［同］鼓腹 
饱食终日	［同］无所用心 饭来张口 衣来伸手 无所事事 ［反］废寝忘食 孜孜不倦 日不暇给 手足胼胝 
饱学	［同］博识 博闻 宏达 博学 ［反］浅学 
饱雨	［同］膏雨 膏泽 中雨 透雨 
宝	［同］珍 珍品 宝物 宝贝 
宝宝	［同］宝贝 乖乖  
宝贝1	［同］宝 珍 珍品 宝物 
宝贝2	［同］宝物 法宝 瑰宝 传家宝 
宝贝3	［同］乖乖 宝宝 
宝贝4	［同］心肝宝贝 骨血 亲骨肉 心肝 
宝藏	［同］矿藏 
宝钞	［同］外钞 伪钞 外汇 银票 
宝盖儿	［同］宝盖头 
宝盖头	［同］宝盖儿 
宝贵	［同］华贵 贵重 昂贵 名贵 
宝卷	［同］卷 
宝刹	［同］名刹 古刹 
宝塔	［同］浮屠 纪念塔 电视塔 塔 
宝塔菜	［同］草石蚕 甘露 麒麟菜 龙须菜 
宝物1	［同］宝贝 宝 珍 珍品 
宝物2	［同］法宝 瑰宝 传家宝 宝贝 
抱	［同］搂 揽 搂抱 拥抱 
抱残守缺	［同］墨守成规 因循守旧 因袭旧套 陈陈相因 ［反］推陈出新 标新立异 破旧立新 除旧布新 
抱粗腿	［同］攀附 攀缘 趋附 趋奉 
抱佛脚	［同］临时抱佛脚 急来抱佛脚 临渴掘井 临阵磨枪 
抱负	［同］心胸 雄心 理想 志向 
抱恨	［同］挟嫌 怀恨 记恨 
抱恨终天	［同］饮恨而终 含冤受屈 冤沉海底 
抱愧	［同］负疚 内疚 抱歉 愧心 
抱歉1	［同］对不起 对不住 
抱歉2	［同］愧心 抱愧 负疚 内疚 
抱屈	［同］抱委屈 闹情绪 
抱拳	［同］拱手 作揖 
抱委屈	［同］闹情绪 抱屈 
抱薪救火	［同］弄巧成拙 适得其反 事与愿违 帮倒忙 
抱养	［同］领养 
抱怨	［同］怨天尤人 怨声载道 民怨沸腾 埋怨 
报1	［同］报章 报纸 
报2	［同］电报 电 
报表	［同］表 表格 
报偿	［同］报答 报还 
报酬	［同］酬劳 酬金 报施 待遇 
报仇	［同］复仇 鞭尸 报仇雪恨 ［反］报恩 
报仇雪恨	［同］报仇 复仇 鞭尸 
报答	［同］报还 报偿 
报单1	［同］报条 喜报 
报单2	［同］失单 定单 存单 帐单 
报导	［同］通讯 简报 
报到	［同］画卯 签到 画到 
报恩	［反］报仇 
报复	［同］复仇 穿小鞋 以眼还眼 以牙还牙 以其人之道 
报告1	［同］告诉 告知 告语 奉告 
报告2	［同］汇报 呈文 呈儿 呈子 
报告3	［同］汇报 上告 上报 呈报 
报馆	［同］报社 
报户口	［同］挂号 登记 注册 
报还	［同］报偿 报答 
报捷	［同］告捷 
报警	［同］告警 
报刊	［同］报章杂志 
报考	［同］投考 
报名	［同］申请 声请  
报名照	［同］结婚照 艺术照 戏照 剧照 
报命	［同］回报 回话 回禀 复命 
报请	［反］批复 
报丧	［反］报喜 
报社	［同］报馆 
报失	［同］挂失 
报施	［同］待遇 报酬 酬劳 酬金 
报条	［同］喜报 报单 
报头	［同］刊头 
报闻	［同］回禀 禀告 禀 
报喜	［反］报丧 报忧 
报销	［同］报帐 
报效	［同］投效 效劳 效力 出力 
报谢	［同］答谢 
报应	［同］果报 现世报 因果 因果报应 
报忧	［反］报喜 
报章	［同］报纸 报 
报章杂志	［同］报刊 
报帐	［同］报销 
报纸1	［同］白报纸 新闻纸 宣纸 苕纸 
报纸2	［同］报 报章 
暴	［同］急 猛 凶 剧 
暴病	［同］急症 疾病 
暴跌	［反］暴涨 飞涨 
暴动	［同］起事 举事 发难 造反 
暴风雨	［同］雷暴雨 陵雨 
暴风骤雨1	［同］大风大浪 狂风恶浪 惊涛骇浪 
暴风骤雨2	［同］风狂雨骤 
暴风骤雨3	［同］急风骤雨 天崩地裂 飞沙走石 
暴风骤雨4	［同］疾风迅雨 凄风苦雨 斜风细雨 狂风暴雨 
暴富	［同］发财 发家 发迹 发家致富 
暴洪	［同］山洪 洪水 洪流 洪洚 
暴利	［同］余利 毛利 厚利 重利 
暴力	［同］强力 武力 
暴烈	［同］粗暴 暴躁 ［反］温和 平和 
暴露	［同］表露 露馅儿 露行迹 暴露无遗 ［反］隐蔽 隐藏 隐没 暗藏 
暴露无遗	［同］暴露 表露 露馅儿 露行迹 
暴跳如雷	［反］心平气和 平心静气 
暴行	［同］横行 
暴躁	［同］暴烈 粗暴 ［反］温和 平和 
暴涨	［反］暴跌 
暴政	［反］仁政 
暴殄天物	［同］悖入悖出 挥霍 糟蹋 
暴戾	［同］凶残 残酷 残暴 残忍 
豹	［同］豹子 金钱豹 
豹子	［同］金钱豹 豹 
鲍鱼	［同］大鲍 鳆 石决明 
爆发	［同］突发 
爆发音	［同］破裂音 塞音 
爆裂1	［同］迸裂 崩裂 崩 炸 
爆裂2	［同］放炮 炸 爆炸 
爆炸	［同］爆裂 放炮 炸 
爆竹	［同］炮仗 花炮 烟火 焰火 
杯中物	［同］酒 酿 酒浆 玉友 
碑记	［同］碑志 碑文 
悲	［反］欢 喜 乐 
悲哀	［同］悲戚 悲愁 哀愁 哀伤 ［反］高兴 开心 愉快 快乐 欢乐 欢欣 欢畅 欢喜 欣喜 喜悦 
悲不自胜	［反］喜不自胜 
悲愁	［同］哀愁 哀伤 悲哀 悲戚 
悲悼	［同］悼念 追悼 哀悼 伤悼 
悲愤	［同］悲痛 哀痛 沉痛 痛心 
悲风	［同］阴风 冷风 寒风 凄风 
悲歌	［反］欢歌 
悲歌1	［同］哀歌 
悲歌2	［同］哀吟 长歌当哭 
悲观	［同］郁郁寡欢 悲观失望 杞人忧天 忧天悯人 ［反］乐观 
悲观失望	［同］杞人忧天 忧天悯人 悲观 郁郁寡欢 
悲观主义	［反］乐观主义 
悲欢离合	［同］生离死别 
悲剧	［反］喜剧 
悲鸣	［同］哀鸣 哀号 
悲戚	［同］悲愁 哀愁 哀伤 悲哀 
悲伤	［同］伤悲 伤心 伤感 难过 ［反］高兴 开心 愉快 快乐 欢乐 欢欣 欢畅 欢喜 欣喜 喜悦 
悲酸	［同］辛酸 苦涩 
悲叹	［同］哀叹 吟啸  
悲痛	［同］哀痛 沉痛 痛心 悲愤 ［反］高兴 开心 愉快 快乐 欢乐 欢欣 欢畅 欢喜 欣喜 喜悦 
悲喜交集	［同］惊喜交集 转悲为喜 
卑	［反］亢 
卑鄙	［反］高尚 高贵 
卑鄙齿龈	［同］不堪入目 禽兽不如 蝇营狗苟 不三不四 
卑称	［同］谦称 
卑躬曲膝	［同］丧权辱国 不知羞耻 狗彘不如 奴颜婢膝 
卑躬屈膝	［同］摇尾乞怜 奴颜媚骨 唯唯诺诺 ［反］不屈不挠 百折不挠 宁死不屈 坚贞不屈 
卑贱	［反］高贵 尊贵 显贵 显达 显要 
卑贱1	［同］卑劣 下流 下作 下贱 
卑贱2	［同］微贱 贫贱 贱 低贱 
卑劣	［同］下流 下作 下贱 卑贱 ［反］高尚 高贵 
卑陋	［同］鄙陋 因陋就简 简陋 
卑怯	［同］怯懦 怯弱 胆小 胆怯 
卑微	［反］高贵 尊贵 显贵 显达 显要 
北	［同］北方 北边 朔 朔方 ［反］南 
北半球	［同］北极 东半球 西半球 南半球 
北边	［同］朔 朔方 北 北方 
北辰	［同］北斗星 斗 天罡星 北极星  
北斗星	［同］斗 天罡星 北极星 北辰 
北方	［同］北边 朔 朔方 北 
北风	［同］凉风 朔风 
北风凛冽	［同］北风怒吼 朔风 春风料峭 冷风砭骨 
北风怒吼	［同］朔风 春风料峭 冷风砭骨 北风凛冽 
北极	［同］东半球 西半球 南半球 北半球 
北极圈	［同］南极圈 
北极星	［同］北辰 北斗星 斗 天罡星  
北极熊	［同］白熊 
北纬	［同］东经 西经 赤道 南纬 
北五味子	［同］五味子 
北至	［同］冬至 冬节 
辈分	［同］辈数儿 行辈 辈世 代 
辈世	［同］代 辈分 辈数儿 行辈 
辈数儿	［同］行辈 辈世 代 辈分 
辈行	［同］同辈 同侪 侪辈 
背	［反］腹 
背1	［同］背诵 记诵 过目成诵  
背2	［同］聩 耳背 耳沉 聋 
背带	［同］书包带 肚带 裤带 松紧带 
背道而驰	［同］戴盆望天 恶湿居下 引足救经 南辕北辙 ［反］并行不悖 并驾齐驱 
背地里	［反］当面 
背光	［同］背阴 
背光性	［同］背日性 ［反］趋光性 
背黑锅	［同］当冤大头 代人受过 垫背 顶缸  
背后	［反］当面 
背晦	［同］悖晦 蒙昧 昏昧 糊涂 
背井离乡	［反］叶落归根 衣锦还乡 
背静	［反］喧闹 喧哗 喧嚣 吵闹 嘈杂 
背靠	［同］背 坐 
背面	［同］后备 后背面 后脸儿 反面 ［反］正面 
背叛	［反］归附 归顺 
背日性	［同］背光性 
背时	［反］走运 
背时1	［同］背兴 倒霉 倒运 背运 
背时2	［同］无人问津 冷门 冷 
背手	［同］反剪 
背水一战	［同］决战 决一死战 一决雌雄 
背诵	［同］记诵 过目成诵 背 
背心	［同］马甲 坎肩 号坎儿 半臂 
背信	［同］食言 自食其言 背信弃义 失信 
背信弃义	［同］失信 背信 食言 自食其言 ［反］信守不渝 
背兴	［同］倒霉 倒运 背运 背时 
背眼	［反］显眼 
背阴	［反］朝阳 向阳 
背阴	［同］背光 
背影	［同］后影 树阴 人影儿 身影 
背约	［反］守约 践约 履约 
背运1	［同］背时 背兴 倒霉 倒运 
背运2	［同］厄运 灾星 苦命 薄命 
背债	［同］拉亏空 欠债 欠帐 负债 
背旮旯儿	［同］角暗里 角落 犄角 旮旯儿 
倍数	［反］约数 
倍增	［同］加倍 翻一番 
备1	［同］戒 警备 戒备 防 
备2	［同］未雨绸缪 准备 预备 
备案	［同］立案 
备办	［同］酌办 缓办 
备不住	［同］敢情 横是 
备耕	［同］机耕 
备件	［同］附件 部件 元件 构件 
备考	［同］备注 凡例 例言 
备取	［同］正取 ［反］正取 
备用品	［同］代用品 样品 战利品 奢侈品 
备战	［同］秣马厉兵 厉兵秣马 披坚执锐 盛食厉兵 
备注	［同］凡例 例言 备考 
焙	［同］烘焙 烙 烘 
被	［同］叫 让 为 见 
被捕	［同］落网 就擒 被擒 束手就擒 
被单	［同］床单 褥单 单子 
被单布	［同］沙发布 
被动	［同］消沉 低落 消极 ［反］主动 自动 
被告	［反］原告 
被害	［同］遇害 遭难 蒙难 受害 
被褐怀玉	［同］大智若愚 深藏若虚 不露锋芒 
被祸	［同］罹祸 祸从天降 遭遇 遇祸 
被困	［同］陷入重围 插翅难飞 四面楚歌 被围 
被迫	［同］逼上梁山 赶鸭子上架 
被擒	［同］束手就擒 被捕 落网 就擒 
被褥	［同］铺盖 铺垫 铺陈 被子 
被围	［同］被困 陷入重围 插翅难飞 四面楚歌 
被灾	［同］受灾 遭灾 
被子	［同］被褥 铺盖 铺垫 铺陈 
被子植物	［反］裸子植物 
奔1	［同］奔跑 跑步 跑 驱 
奔2	［同］快步 疾步 奔走 疾走 
奔3	［同］去 去到 过去 往 
奔4	［同］上 不到 朝里 近 
奔5	［同］向 朝 望 往 
奔波	［同］奔走 奔忙 跑 
奔驰	［同］疾驰 奔逸 飞驰 
奔窜	［同］东奔西窜 逃窜 窜逃 流窜 
奔放1	［同］豪放 奔逸 恣肆 纵横 
奔放2	［同］稳健 刚健 刚劲 雄健 
奔流	［同］急流 激流 
奔忙	［同］跑 奔波 奔走 
奔跑	［同］跑步 跑 驱 奔 
奔逸1	［同］飞驰 奔驰 疾驰 
奔逸2	［同］恣肆 纵横 奔放 豪放 
奔走1	［同］奔忙 跑 奔波 
奔走2	［同］疾走 奔 快步 疾步 
本	［反］利 息 
本初子午线	［同］子午线 
本传	［反］别传 
本地	［反］外地 
本地	［同］本土 当地 该地 地方 
本地人	［同］当地人 土著 本地人 本乡人 
本地人	［同］本乡人 本处人 当地人 土著 
本分	［同］规矩 老实 安分 
本分	［反］非分 
本国	［反］外国 
本国人	［同］国人 同胞 
本籍	［反］寄籍 客籍 
本家	［同］亲丁 亲眷 六亲 亲族 
本家	［反］外姓 
本金	［反］利息 
本金	［同］基金 资本 资金 资产 
本来1	［同］当然 自然 当 自是 
本来2	［同］原来 原本 原先 固 
本末1	［同］颠末 首尾 起讫 始末 
本末2	［同］始末 内容 情节 情 
本年	［同］今年 当年 
本钱	［反］利钱 
本人	［同］个人 我 咱 俺 
本嗓子	［同］嗓 嗓门儿 嗓子 真嗓子 
本色	［同］淡色 素色 基色 原色 
本身	［同］自己 自家 自个儿 自身 
本题	［同］主题 正题 
本体	［反］现象 
本土	［同］当地 该地 地方 本地 
本位	［同］重心 核心 中心 重点 
本位货币	［同］基本货币 
本文	［同］白文 正文 
本戏	［反］折子戏 
本乡	［同］家乡 故乡 
本乡人	［同］本处人 当地人 土著 本地人 
本心	［同］本意 原意 初意 
本性	［同］天性 个性 禀性 赋性 
本意	［同］原意 初意 本心 
本义	［同］转义 引申义 比喻义 
本义	［反］转义 
本应如此	［同］理所当然 
本源	［同］渊源 起源 根源 
本在意中	［同］意料之中 预料之中 意想之中 大势所趋 
本质	［反］表面 
本质1	［同］本质 真相 实质 精神 
本质2	［同］真相 实质 精神 本质 
本主儿	［同］物主 主人 原主 
本子1	［同］册子 簿籍 表册 本 
本子2	［同］剧本 台本 戏本 脚本 
笨	［反］灵 巧 
笨伯	［同］笨蛋 笨人 笨货 笨家伙 
笨蛋	［同］笨人 笨货 笨家伙 笨伯 
笨货	［同］笨家伙 笨伯 笨蛋 笨人 
笨家伙	［同］笨伯 笨蛋 笨人 笨货 
笨口拙舌	［同］笨手笨脚 木雕泥塑 呆头呆脑 张口结舌 ［反］巧舌如簧 
笨人	［同］笨货 笨家伙 笨伯 笨蛋 
笨手笨脚	［同］木雕泥塑 呆头呆脑 张口结舌 笨口拙舌 
笨头笨脑	［同］傻里傻气 愚不可及 愚昧无知 
笨重	［同］粗重 ［反］轻巧 
笨拙	［同］愚蠢 蠢笨 愚拙 愚笨 ［反］灵巧 灵便 灵活 伶俐 敏捷 
崩1	［同］枪毙 枪决 毙 
崩2	［同］炸 爆裂 迸裂 崩裂 
崩溃	［同］分裂 瓦解 支解 解体 
崩裂	［同］崩 炸 爆裂 迸裂 
崩漏	［同］血流如注 出血 血崩 
崩塌	［同］倾倒 倒塌 坍塌 塌架 
绷	［同］酷 怪 精 稀 
绷带	［同］纱布 
绷簧	［同］簧 发条 弹簧 
绷脸	［同］虎起脸 冷脸子 板脸 
甭	［同］无须 不用 ［反］必须 务必 务须 须要 
泵	［同］水泵 抽水机 气泵 风泵 
蹦	［同］蹿 纵身 纵步 跃 
蹦蹦儿戏	［同］落子 评剧 
迸裂	［同］崩裂 崩 炸 爆裂 
逼供	［同］刑讯 拷问 打问 刑辱 ［反］招供 自供 招认 供认 
逼近	［同］迫近 迫临 
逼迫	［同］强逼 逼使 强使 强迫 
逼上梁山	［同］赶鸭子上架 被迫 
逼使	［同］强使 强迫 逼迫 强逼 
逼视	［同］盯 注目 瞩目 目送 
鼻青眼肿	［同］遍体鳞伤 体无完肤 皮开肉绽 
比1	［同］比拟 较短论长 比较 
比2	［同］比试 打手势 指手画脚 比划 
比3	［同］对比 比例 
比比皆是	［同］触目皆是 数以万计 不知凡几 俯拾皆是 ［反］寥若晨星 寥寥无几 
比方1	［同］好比 比喻 譬喻 化作 
比方2	［同］譬喻 比喻 譬 
比划	［同］比 比试 打手势 指手画脚 
比及	［同］及至 赶逮 迨 等到 
比较1	［同］比 比拟 较短论长 
比较2	［同］较比 较为 较 
比较价格1	［同］可比价格 
比较价格2	［同］可比价格 不变价格 
比来	［同］近来 日来 近日 迩来 
比例	［同］比 对比 
比例尺1	［同］标尺 尺 折尺 
比例尺2	［同］缩尺 
比量	［同］量 计量 
比率	［同］率 比值 
比美	［同］抵得上 媲美 
比拟	［同］较短论长 比较 比 
比年	［同］近年 年来 晚近 
比配	［同］般配 匹配 配合 相配 
比球	［同］比赛 赛球 
比如	［同］譬如 诸如 如像 例如 
比赛1	［同］竞赛 比试 竞技 较量 
比赛2	［同］赛球 比球 
比试1	［同］打手势 指手画脚 比划 比 
比试2	［同］竞技 较量 比赛 竞赛 
比翼齐飞	［同］齐飞 
比喻1	［同］譬 比方 譬喻 
比喻2	［同］譬喻 化作 比方 好比 
比喻义	［同］本义 转义 引申义 
比照	［同］遵照 遵循 依照 按照 
比值	［同］比率 率 
鄙	［同］拙贱 寒 下 敝 
鄙吝	［同］贫气 手紧 小气 吝啬 
鄙陋	［反］渊博 广博 博识 博闻 多闻 
鄙陋1	［同］固陋 浅学 浅薄 浅陋 
鄙陋2	［同］因陋就简 简陋 卑陋 
鄙弃	［同］唾弃 吐弃 
鄙亲	［同］舍亲 
